ID;carID;NAME;MAKE;MODEL;YEAR;MPG;TRANSMISSION;DOORS;SUBMODEL;MSRP;RATING;CONSUMER_RATING;PHOTO
462809;200703618;SH-AWD w/Advance Package 4dr Sedan AWD (3.5L 6cyl 9A);Acura;TLX;2015;"Highway:31;City:21";AUTOMATIC;4;TLX Sedan;44800;B;4;http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg
462643;200703608;4dr Sedan (3.5L 6cyl 9A);Acura;TLX;2015;"Highway:34;City:21";AUTOMATIC;4;TLX Sedan;35320;B;4;http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg
466315;200703609;Advance Package 4dr Sedan (3.5L 6cyl 9A);Acura;TLX;2015;"Highway:34;City:21";AUTOMATIC;4;TLX Sedan;42600;B;4;http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg
461735;200703614;Technology Package 4dr Sedan (2.4L 4cyl 8AM);Acura;TLX;2015;"Highway:35;City:24";AUTOMATED MANUAL;4;TLX Sedan;35500;B;4;http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg
462669;200703615;SH-AWD w/Technology Package 4dr Sedan AWD (3.5L 6cyl 9A);Acura;TLX;2015;"Highway:31;City:21";AUTOMATIC;4;TLX Sedan;41575;B;4;http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg
461319;200703610;Technology Package 4dr Sedan (3.5L 6cyl 9A);Acura;TLX;2015;"Highway:34;City:21";AUTOMATIC;4;TLX Sedan;39375;B;4;http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg
460156;200673635;4dr Sedan (2.4L 4cyl 8AM);Acura;TLX;2015;"Highway:35;City:24";AUTOMATED MANUAL;4;TLX Sedan;31445;B;4;http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg
464347;200464146;2dr Coupe (1.7L 4cyl Turbo 6AM);Alfa Romeo;4C;2015;"Highway:34;City:24";AUTOMATED MANUAL;2;4C Coupe;53900;B;;http://media.ed.edmunds-media.com/alfa-romeo/4c/2015/oem/2015_alfa-romeo_4c_coupe_base_fq_oem_20_300.jpg
465015;200708065;Launch Edition 2dr Coupe (1.7L 4cyl Turbo 6AM);Alfa Romeo;4C;2015;"Highway:34;City:24";AUTOMATED MANUAL;2;4C Coupe;68400;B;;http://media.ed.edmunds-media.com/alfa-romeo/4c/2015/oem/2015_alfa-romeo_4c_coupe_base_fq_oem_20_300.jpg
465176;200722371;1.8 TFSI Premium Plus 4dr Sedan (1.8L 4cyl Turbo 6AM);Audi;A3;2015;"Highway:33;City:23";AUTOMATED MANUAL;4;A3 Sedan;32450;A;4,095;http://media.ed.edmunds-media.com/audi/a3/2015/oem/2015_audi_a3_sedan_20-tfsi-premium-plus-quattro_fq_oem_2_300.jpg
464041;200675092;1.8 TFSI Premium 4dr Sedan (1.8L 4cyl Turbo 6AM);Audi;A3;2015;"Highway:33;City:23";AUTOMATED MANUAL;4;A3 Sedan;29900;A;4,095;http://media.ed.edmunds-media.com/audi/a3/2015/oem/2015_audi_a3_sedan_20-tfsi-premium-plus-quattro_fq_oem_2_300.jpg
